"type","tot.length.m","tot.length.km","mean.sa.m2","sd.sa.m2","mean.sa.km2","sd.sa.km2","tot.sa.km2","per.tot.sa.km2"
"ditch",1139521.69294463,1139.52169294463,5741871.29359018,164690.05971759,5.74187129359018,0.16469005971759,16.3377056606629,35.1449059791497
"intermittent",1084251.13839265,1084.25113839265,2501367.65104278,208951.605671175,2.50136765104278,0.208951605671175,16.3377056606629,15.310397328711
"perennial",748988.338187224,748.988338187224,8094466.71602989,917433.983273333,8.09446671602989,0.917433983273332,16.3377056606629,49.5446966921393
