"Date","Ditch","mean_daily_temp"
2022-06-01,"FC",7.58014351851852
2022-06-02,"FC",9.7531712962963
2022-06-02,"BB",12.2196111111111
2022-06-02,"LMCS",9.55069444444444
2022-06-03,"FC",9.4791712962963
2022-06-03,"BB",12.0257152777778
2022-06-03,"LMCS",9.45580555555556
2022-06-04,"FC",8.75478703703704
2022-06-04,"BB",11.2606111111111
2022-06-04,"LMCS",8.78073611111111
2022-06-05,"FC",8.86888425925926
2022-06-05,"BB",11.2000902777778
2022-06-05,"LMCS",8.53613888888889
2022-06-06,"FC",8.3431712962963
2022-06-06,"BB",10.8613541666667
2022-06-06,"LMCS",7.87909722222222
2022-06-07,"FC",8.4458287037037
2022-06-07,"BB",11.4667083333333
2022-06-07,"LMCS",8.36690277777778
2022-06-07,"LL",10.3183471021303
2022-06-08,"FC",7.76797685185185
2022-06-08,"BB",10.4104375
2022-06-08,"LMCS",7.642625
2022-06-08,"LL",9.71348363095238
2022-06-09,"FC",10.3442175925926
2022-06-09,"BB",13.13675
2022-06-09,"LMCS",9.54016666666667
2022-06-09,"LL",10.9891220238095
2022-06-10,"FC",10.4367824074074
2022-06-10,"BB",13.2627708333333
2022-06-10,"LMCS",9.66311111111111
2022-06-10,"LL",12.0795654761905
2022-06-11,"FC",9.40553703703704
2022-06-11,"BB",12.4180416666667
2022-06-11,"LMCS",8.68822222222222
2022-06-11,"LL",11.6890714285714
2022-06-12,"FC",8.06038425925926
2022-06-12,"BB",11.1105833333333
2022-06-12,"LMCS",7.86738888888889
2022-06-12,"LL",9.39994791666667
2022-06-13,"FC",7.666875
2022-06-13,"BB",10.1721388888889
2022-06-13,"LMCS",7.78765277777778
2022-06-13,"LL",8.13879761904762
2022-06-14,"FC",7.68564351851852
2022-06-14,"BB",9.40123611111111
2022-06-14,"LMCS",7.60990277777778
2022-06-14,"LL",7.80185267857143
2022-06-15,"FC",8.85950462962963
2022-06-15,"BB",10.6028680555556
2022-06-15,"LMCS",8.53026388888889
2022-06-15,"LL",9.18235119047619
2022-06-16,"FC",10.9328055555556
2022-06-16,"BB",12.3844027777778
2022-06-16,"LMCS",10.4305972222222
2022-06-16,"LL",11.8506383928571
2022-06-17,"FC",11.6242731481481
2022-06-17,"BB",13.8190347222222
2022-06-17,"LMCS",11.3574444444444
2022-06-17,"LL",13.8155788690476
2022-06-18,"FC",11.3982592592593
2022-06-18,"BB",13.7982152777778
2022-06-18,"LMCS",10.5630694444444
2022-06-18,"LL",13.7207142857143
2022-06-19,"FC",9.61025462962963
2022-06-19,"BB",12.0735833333333
2022-06-19,"LMCS",9.06268055555556
2022-06-19,"LL",12.07903125
2022-06-20,"FC",8.96378240740741
2022-06-20,"BB",11.1714166666667
2022-06-20,"LMCS",8.39641666666667
2022-06-20,"LL",10.3369702380952
2022-06-21,"FC",10.379287037037
2022-06-21,"BB",12.4361111111111
2022-06-21,"LMCS",9.13204166666667
2022-06-21,"LL",11.1223348214286
2022-06-22,"FC",11.8444398148148
2022-06-22,"BB",13.4430763888889
2022-06-22,"LMCS",10.3856666666667
2022-06-22,"LL",12.6716443452381
2022-06-23,"FC",12.3271851851852
2022-06-23,"BB",13.9750694444444
2022-06-23,"LMCS",10.8596388888889
2022-06-23,"LL",13.6024791666667
2022-06-24,"FC",11.214912037037
2022-06-24,"BB",13.5534375
2022-06-24,"LMCS",10.8778888888889
2022-06-24,"LL",13.0827976190476
2022-06-25,"FC",9.90767592592593
2022-06-25,"BB",12.3833680555556
2022-06-25,"LMCS",9.44066666666667
2022-06-25,"LL",12.2050401785714
2022-06-26,"FC",10.5060648148148
2022-06-26,"BB",13.1169236111111
2022-06-26,"LMCS",10.4145138888889
2022-06-26,"LL",12.3711056547619
2022-06-27,"FC",11.8006203703704
2022-06-27,"BB",14.4678402777778
2022-06-27,"LMCS",11.6408472222222
2022-06-27,"LL",13.7034241071429
2022-06-28,"FC",11.9788194444444
2022-06-28,"BB",14.3709166666667
2022-06-28,"LMCS",11.8974305555556
2022-06-28,"LL",14.2407098214286
2022-06-29,"FC",12.530037037037
2022-06-29,"BB",15.1181736111111
2022-06-29,"LMCS",12.3037638888889
2022-06-29,"LL",14.200837797619
2022-06-30,"FC",11.8864583333333
2022-06-30,"BB",14.5818194444444
2022-06-30,"LMCS",11.7129861111111
2022-06-30,"LL",14.1210238095238
2022-07-01,"FC",12.3634166666667
2022-07-01,"BB",14.7419722222222
2022-07-01,"LMCS",12.2208611111111
2022-07-01,"LL",14.4493229166667
2022-07-02,"FC",12.9205324074074
2022-07-02,"BB",14.8902361111111
2022-07-02,"LMCS",12.5855833333333
2022-07-02,"LL",15.0439092261905
2022-07-03,"FC",12.5378009259259
2022-07-03,"BB",14.3981805555556
2022-07-03,"LMCS",12.4385138888889
2022-07-03,"LL",14.4820491071429
2022-07-04,"FC",12.861162037037
2022-07-04,"BB",14.6169236111111
2022-07-04,"LMCS",12.6683472222222
2022-07-04,"LL",14.4112410714286
2022-07-05,"FC",13.6408009259259
2022-07-05,"BB",15.4670555555556
2022-07-05,"LMCS",13.43775
2022-07-05,"LL",15.683943452381
2022-07-06,"FC",13.807837962963
2022-07-06,"BB",15.7023611111111
2022-07-06,"LMCS",13.7013055555556
2022-07-06,"LL",16.01003125
2022-07-07,"FC",13.5633148148148
2022-07-07,"BB",15.0679027777778
2022-07-07,"LMCS",13.9562083333333
2022-07-07,"LL",15.6806830357143
2022-07-08,"FC",13.7728055555556
2022-07-08,"BB",15.1427291666667
2022-07-08,"LMCS",13.835
2022-07-08,"LL",15.3374806547619
2022-07-09,"FC",14.4689861111111
2022-07-09,"BB",15.7252708333333
2022-07-09,"LMCS",14.5563055555556
2022-07-09,"LL",16.1845282738095
2022-07-10,"FC",14.5247546296296
2022-07-10,"BB",15.8381805555556
2022-07-10,"LMCS",14.3750694444444
2022-07-10,"LL",16.6016785714286
2022-07-11,"FC",14.133912037037
2022-07-11,"BB",15.2884236111111
2022-07-11,"LMCS",13.9171527777778
2022-07-11,"LL",16.4374419642857
2022-07-12,"FC",14.9835324074074
2022-07-12,"BB",15.8787430555556
2022-07-12,"LMCS",14.9328611111111
2022-07-12,"LL",17.073005952381
2022-07-13,"FC",15.3121759259259
2022-07-13,"BB",16.7906666666667
2022-07-13,"LMCS",15.7290277777778
2022-07-13,"LL",17.9786205357143
2022-07-14,"FC",15.4238611111111
2022-07-14,"BB",16.8964236111111
2022-07-14,"LMCS",15.9233472222222
2022-07-14,"LL",18.1330074404762
2022-07-15,"FC",14.3349907407407
2022-07-15,"BB",15.6640833333333
2022-07-15,"LMCS",14.6863472222222
2022-07-15,"LL",16.8390401785714
2022-07-16,"FC",15.0087361111111
2022-07-16,"BB",16.2430416666667
2022-07-16,"LMCS",15.1076666666667
2022-07-16,"LL",16.6583839285714
2022-07-17,"FC",15.5317083333333
2022-07-17,"BB",16.5665555555556
2022-07-17,"LMCS",15.7534305555556
2022-07-17,"LL",17.2834419642857
2022-07-18,"FC",15.8061527777778
2022-07-18,"BB",16.6856458333333
2022-07-18,"LMCS",16.0377638888889
2022-07-18,"LL",17.4423869047619
2022-07-19,"FC",15.0098425925926
2022-07-19,"BB",15.6419513888889
2022-07-19,"LMCS",15.0963194444444
2022-07-19,"LL",16.7926369047619
2022-07-20,"FC",15.5686203703704
